precision,recall,f1,number,category,fold,epoch,label_type,data_sample,model_type,accuracy,steps
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.1,English,v5,Base,,0
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.2,English,v5,Base,,1
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.3,English,v5,Base,,2
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.4,English,v5,Base,,3
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.5,English,v5,Base,,4
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.6,English,v5,Base,,5
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.7,English,v5,Base,,6
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.8,English,v5,Base,,7
0.0,0.0,0.0,0.0,BEHÖRDE,0,0.9,English,v5,Base,,8
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.0,English,v5,Base,,9
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.1,English,v5,Base,,10
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.2,English,v5,Base,,11
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.3,English,v5,Base,,12
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.4,English,v5,Base,,13
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.5,English,v5,Base,,14
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.6,English,v5,Base,,15
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.7,English,v5,Base,,16
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.8,English,v5,Base,,17
0.0,0.0,0.0,0.0,BEHÖRDE,0,1.9,English,v5,Base,,18
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.0,English,v5,Base,,19
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.1,English,v5,Base,,20
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.2,English,v5,Base,,21
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.3,English,v5,Base,,22
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.4,English,v5,Base,,23
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.5,English,v5,Base,,24
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.6,English,v5,Base,,25
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.7,English,v5,Base,,26
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.8,English,v5,Base,,27
0.0,0.0,0.0,0.0,BEHÖRDE,0,2.9,English,v5,Base,,28
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.0,English,v5,Base,,29
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.1,English,v5,Base,,30
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.2,English,v5,Base,,31
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.3,English,v5,Base,,32
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.4,English,v5,Base,,33
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.5,English,v5,Base,,34
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.6,English,v5,Base,,35
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.7,English,v5,Base,,36
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.8,English,v5,Base,,37
0.0,0.0,0.0,0.0,BEHÖRDE,0,3.9,English,v5,Base,,38
0.0,0.0,0.0,0.0,BEHÖRDE,0,4.0,English,v5,Base,,39
0.0,0.0,0.0,2.0,BEHÖRDE,0,4.1,English,v5,Base,,40
0.0,0.0,0.0,0.0,BEHÖRDE,0,4.2,English,v5,Base,,41
0.0,0.0,0.0,0.0,BEHÖRDE,0,4.3,English,v5,Base,,42
0.0,0.0,0.0,0.0,BEHÖRDE,0,4.4,English,v5,Base,,43
0.0,0.0,0.0,0.0,BEHÖRDE,0,4.5,English,v5,Base,,44
0.0,0.0,0.0,1.0,BEHÖRDE,0,4.6,English,v5,Base,,45
0.0,0.0,0.0,2.0,BEHÖRDE,0,4.7,English,v5,Base,,46
0.0,0.0,0.0,9.0,BEHÖRDE,0,4.8,English,v5,Base,,47
0.0,0.0,0.0,9.0,BEHÖRDE,0,4.9,English,v5,Base,,48
0.0,0.0,0.0,8.0,BEHÖRDE,0,5.0,English,v5,Base,,49
0.0,0.0,0.0,10.0,BEHÖRDE,0,5.1,English,v5,Base,,50
0.0,0.0,0.0,5.0,BEHÖRDE,0,5.2,English,v5,Base,,51
0.0,0.0,0.0,10.0,BEHÖRDE,0,5.3,English,v5,Base,,52
0.0,0.0,0.0,2.0,BEHÖRDE,0,5.4,English,v5,Base,,53
0.0,0.0,0.0,6.0,BEHÖRDE,0,5.5,English,v5,Base,,54
